,Year,Historical,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
299,2049,,15.708645,15.700632,15.756978,15.478998,15.171626999999999,15.129863,14.8238,14.99063,14.920945000000001,14.960347,14.686669,14.438004000000001,14.075785,13.985717000000001,13.745423,13.779295000000001,13.99296,13.986803,13.684344,13.513416000000001,13.352839999999999,13.195898999999999,13.105869,13.01797,12.855341000000001,12.661096,12.448871,12.216096,11.959699,11.675981
300,2050,,15.352484,15.351420000000001,15.364285,14.988445,14.645148,14.591173000000001,14.257197,14.428382999999998,14.352198999999999,14.388214999999999,14.088038000000001,13.815548999999999,13.422004000000001,13.317216,13.056215,13.084833,13.304982,13.295518,12.963071000000001,12.768639,12.581394,12.398388,12.291273,12.187727,11.998672000000001,11.773591999999999,11.528542999999999,11.260825,10.967252,10.644042
301,2051,,15.001547,15.007179,14.978185,14.509426000000001,14.132705999999999,14.067298000000001,13.707721,13.882629000000001,13.800494,13.833236999999999,13.508901999999999,13.214842,12.793256,12.675142999999998,12.395853,12.419524000000001,12.644896000000001,12.632403,12.273531,12.058301,11.847485,11.64162,11.519549000000001,11.4024,11.190602,10.93927,10.666637,10.370003,10.046223,9.691626
302,2052,,14.655923000000001,14.667998999999998,14.598764000000001,14.041960999999999,13.634248999999999,13.558169,13.175223999999998,13.353254000000002,13.265698,13.295285999999999,12.949046000000001,12.635572999999999,12.189081,12.058983999999999,11.763694000000001,11.782731,12.012161,11.996908,11.614983,11.381523,11.150082000000001,10.924389,10.789375999999999,10.660548,10.429461,10.15615,9.860793,9.540788000000001,9.193161,8.814509
303,2053,,14.315686,14.333955,14.226091,13.586038,13.149694,13.063683000000001,12.659517999999998,12.840109,12.747639,12.774194,12.408211,12.077391,11.608972,11.468169999999999,11.159046,11.173757,11.406171,11.388419,10.986621000000001,10.73736,10.488072,10.245402,10.099338000000001,9.960633999999999,9.71347,9.422138,9.108521000000001,8.770206,8.404484,8.008334
304,2054,,13.980898000000002,14.005111,13.860219,13.141622,12.678927999999999,12.58371,12.160386,12.343010000000001,12.246115,12.269763000000001,11.886103,11.539903,11.052381,10.902094,10.581173,10.591861999999999,10.826273,10.806274,10.38759,10.124808999999999,9.860285000000001,9.603303,9.447955,9.301051,9.040782,8.735064999999999,8.407263,8.055212,7.676547,7.268707000000001
305,2055,,13.651608999999999,13.68152,13.501185999999999,12.708655,12.221814,12.118089999999999,11.67758,11.861744,11.760891,11.78176,11.382396,11.022686,10.518728999999999,10.360113,10.029305,10.036271000000001,10.271778,10.249771,9.816993,9.542831,9.265511,8.996694999999999,8.833702,8.680146,8.409504,8.09272,7.754422999999999,7.392744,7.005706,6.591264999999999
306,2056,,13.327860000000001,13.363225,13.149019000000001,12.287057,11.778193,11.66664,11.210832,11.396073,11.291708999999999,11.309928,10.896737,10.52529,10.007408,9.841559,9.502649,9.506181,9.741962,9.718177,9.273908,8.990356,8.70251,8.424153,8.255028999999999,8.096245,7.817724,7.492883,7.147407,6.7797529999999995,6.388365,5.971736
307,2057,,13.009679,13.050258,12.80373,11.87673,11.347885,11.229159,10.759849,10.945739,10.838288,10.853987,10.42875,10.047242,9.517795,9.345742999999999,9.000392999999999,9.000772,9.236080000000001,9.210733,8.757391,8.466299000000001,8.170028,7.8842419999999995,7.710375,7.547664999999999,7.2635309999999995,6.933344,6.583647,6.213243,5.821008,5.405977
308,2058,,12.697088,12.742644,12.46532,11.477561,10.930693,10.805425,10.324323,10.510463,10.400328,10.413636,9.978041000000001,9.588052000000001,9.049248,8.871962,8.521716,8.519212,8.753372,8.726669000000001,8.266488,7.969564999999999,7.666805999999999,7.375526,7.1981850000000005,7.032732000000001,6.745028,6.411919999999999,6.060625,5.690293,5.300231,4.890003
